<?xml version="1.0" encoding="UTF-8"?>
გიორგი	გოდაბრელიძე	ევროპასთან ინტეგრაციის კომიტეტი	2010-06-11;	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2010 წლის ივნისი 
რამინი	ბაირამოვი	ევროპასთან ინტეგრაციის კომიტეტი	2010-06-11;	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2010 წლის ივნისი 
ლაშა	მინდელი	თავდაცვისა და უშიშროების კომიტეტი	2010-06-25	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2010 წლის ივნისი 
კობა	ბადაგაძე	თავდაცვისა და უშიშროების კომიტეტი	2010-06-29	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2010 წლის ივნისი 
გია	თორთლაძე	თავდაცვისა და უშიშროების კომიტეტი	2010-06-29	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2010 წლის ივნისი 
გოჩა	კუპრავა	თავდაცვისა და უშიშროების კომიტეტი	2010-03-17	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2010 წლის მარტი 
მაგდალინა	ანიკაშვილი	საპროცედურო საკითხთა და წესების კომიტეტი	2010-03-05	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2010 წლის მარტი 
გია	გოგუაძე	აგრარულ საკითხთა კომიტეტი	2010-10-01	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2010 წლის ოქტომბერი 
პაატა	ლეჟავა	აგრარულ საკითხთა კომიტეტი	2010-10-01	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2010 წლის ოქტომბერი 
გიორგი	გოდაბრელიძე	ევროპასთან ინტეგრაციის კომიტეტი	2010-09-23;	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2010 წლის სექტემბერი 
რამინი	ბაირამოვი	ევროპასთან ინტეგრაციის კომიტეტი	2010-09-23;	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2010 წლის სექტემბერი 
რატი	მაისურაძე	თავდაცვისა და უშიშროების კომიტეტი	2010-09-23	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2010 წლის სექტემბერი 
